row_order,section,parameter,value,unit,evidence_status,definition,source_input,input_manifest_hash
56,unknown_orbit_quality,maximum_residual_limit,8,arcsec,available,Single-night is_good maximum residual limit,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
57,unknown_orbit_quality,linear_rms_limit,10,arcsec,available,Single-night is_good linear-motion RMS limit,config,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
58,environment,host,smtdata,,available,Production host,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
59,environment,platform,Linux-6.17.0-35-generic-x86_64-with-glibc2.39,,available,Production platform,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
60,environment,python_executable,/home/smtpipeline/Softwares/miniconda3/bin/python,,available,Default interpreter,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
61,environment,python_version,"3.13.5 | packaged by Anaconda, Inc. | (main, Jun 12 2025, 16:09:02) [GCC 11.2.0]",,available,Default Python,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
62,model,known_propagation,astro_aleph with local de432s.bsp modification,,available,Known-object propagation model,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
63,model,short_arc_orbit,poliastro environment; astropy solar_system_ephemeris=builtin,,available,Short-arc orbit model and ephemeris,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
64,environment,default_package_astro-aleph,1.0.0,version,available,Frozen package version,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
65,environment,default_package_astropy,7.1.0,version,available,Frozen package version,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
66,environment,default_package_healpy,1.18.1,version,available,Frozen package version,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
67,environment,default_package_numpy,2.3.3,version,available,Frozen package version,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
68,environment,default_package_pandas,2.3.3,version,available,Frozen package version,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
69,environment,default_package_pyarrow,,version,not_available,Frozen package version,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
70,environment,default_package_scipy,1.16.2,version,available,Frozen package version,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
71,environment,short_arc_python_executable,/home/smtpipeline/Softwares/miniconda3/envs/heliolinc/bin/python,,available,Short-arc interpreter,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
72,environment,short_arc_python_version,"3.10.20 | packaged by conda-forge | (main, Mar  5 2026, 16:42:22) [GCC 14.3.0]",,available,Short-arc Python,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
73,environment,short_arc_package_astropy,5.3.4,version,available,Short-arc package version,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
74,environment,short_arc_package_numpy,1.26.4,version,available,Short-arc package version,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
75,environment,short_arc_package_pandas,2.3.3,version,available,Short-arc package version,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
76,environment,short_arc_package_poliastro,0.17.0,version,available,Short-arc package version,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
77,environment,short_arc_package_pyarrow,23.0.1,version,available,Short-arc package version,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
78,environment,short_arc_package_scipy,1.15.2,version,available,Short-arc package version,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
79,environment,slurm_accounting_status,unavailable_slurm_accounting_disabled,,available,Resource-accounting availability,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
80,reference,footprint_rows,1855,fields,available,Footprint library rows,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
81,reference,gaia_tile_count,12288,tiles,available,Frozen Gaia HEALPix tile count,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
82,reference,gaia_release_provenance,not_established,,available,Gaia release provenance status,environment,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
83,provenance,production_files_listed,20,files,available,Frozen production provenance rows,production_hashes,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
84,provenance,production_files_hashed_ok,20,files,available,Rows with a recorded SHA-256,production_hashes,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
85,provenance,production_code_files_hashed_ok,17,files,available,Production-code rows with SHA-256,production_hashes,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
86,orbit_site_sensitivity,baseline_longitude,117.575,deg E,available,As-executed orbit baseline longitude,orbit_site_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
87,orbit_site_sensitivity,baseline_latitude,40.394239,deg N,available,As-executed orbit baseline latitude,orbit_site_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
88,orbit_site_sensitivity,baseline_height,868.221,m,available,As-executed orbit baseline height,orbit_site_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
89,orbit_site_sensitivity,alternate_960m_longitude,117.575,deg E,available,960 m sensitivity-run longitude,orbit_site_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
90,orbit_site_sensitivity,alternate_960m_latitude,40.393,deg N,available,960 m sensitivity-run latitude,orbit_site_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
91,orbit_site_sensitivity,alternate_960m_height,960,m,available,960 m sensitivity-run height,orbit_site_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
92,orbit_site_sensitivity,all_link_fit_ok_flips,0,linkages,available,fit_ok classification changes in the 960 m sensitivity run,orbit_site_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
93,orbit_site_sensitivity,all_link_is_good_flips,0,linkages,available,is_good classification changes in the 960 m sensitivity run,orbit_site_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
94,orbit_site_sensitivity,formal_unknown_fit_ok_flips,0,linkages,available,Formal-unknown fit_ok changes in the 960 m sensitivity run,orbit_site_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
95,orbit_site_sensitivity,formal_unknown_is_good_flips,0,linkages,available,Formal-unknown is_good changes in the 960 m sensitivity run,orbit_site_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
96,orbit_site_sensitivity,retained58_fit_ok_flips,0,linkages,available,Retained-sample fit_ok changes in the 960 m sensitivity run,orbit_site_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
97,orbit_site_sensitivity,retained58_is_good_flips,0,linkages,available,Retained-sample is_good changes in the 960 m sensitivity run,orbit_site_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
98,orbit_site_sensitivity,site_sensitivity_guardrail,"This is a deterministic observer-location sensitivity comparison, not a new MPC submission. Canonical surveyed MPC 327 coordinates still require author/observatory confirmation.",,available,Interpretation boundary for the site sensitivity run,orbit_site_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
