stage_order,stage,value,unit,scope,evidence_status,denominator_stage,retention_fraction,definition,interpretation_guardrail,source_input,input_manifest_hash
11,orbit_is_good_linkage,82821,linkage,included_unknown_nights,available,orbit_fit_ok_linkage,1,Diagnostic parallel orbit-quality threshold,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
12,fit_ok_all_non_known_linkage,4762,linkage,included_unknown_nights,available,orbit_fit_ok_linkage,0.05749749459678101,fit_ok linkages whose member detections are all non-known,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
13,is_good_all_non_known_linkage,4762,linkage,included_unknown_nights,available,fit_ok_all_non_known_linkage,1,Diagnostic is_good and all-non-known intersection,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
14,post_known_catalog_linkage,4762,linkage,included_unknown_nights,available,fit_ok_all_non_known_linkage,1,Rows in the frozen post-known unknown catalogs,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
15,initial_human_selected_linkage,67,linkage,included_unknown_nights,available,post_known_catalog_linkage,0.014069718605627888,Initial human-selected audit-ledger linkages,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
16,posthoc_retained_linkage,58,linkage,included_unknown_nights,available,initial_human_selected_linkage,0.8656716417910447,Post-hoc retained high-confidence linkages,Stage retention/post-audit precision proxy only; not a completeness or discovery rate.,unknown_stage_totals,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
20,linkage_detection_membership,14299,memberships,frozen_unknown_catalog_memberships,available,,,Detection memberships across catalog linkages,"Membership, detection, linkage, and independent-object grains are distinct.",unknown_population_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
21,globally_unique_detection_key,14159,detections,frozen_unknown_catalog_memberships,available,,,"Unique (night,image,objID) detection keys","Membership, detection, linkage, and independent-object grains are distinct.",unknown_population_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
22,duplicate_linkage_membership,140,memberships,frozen_unknown_catalog_memberships,available,,,Memberships beyond globally unique detection keys,"Membership, detection, linkage, and independent-object grains are distinct.",unknown_population_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
23,posthoc_retained_detection_membership,179,memberships,frozen_unknown_catalog_memberships,available,,,Detection memberships in retained linkages,"Membership, detection, linkage, and independent-object grains are distinct.",unknown_population_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
24,posthoc_retained_unique_detection_key,179,detections,frozen_unknown_catalog_memberships,available,,,Unique detection keys in retained linkages,"Membership, detection, linkage, and independent-object grains are distinct.",unknown_population_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
30,blinded_known_eligible_ge3_rate_object_n,102347,object-night rows,retrospective_blinded_known_proxy_ge3_and_rate,available,,,Eligible known object-night rows with >=3 detections and a 3--63 arcsec h^-1 rate,not L2 detection completeness; not image injection; intermediate Gaia/static/tracklet losses are not separately identifiable from the frozen final link products,blinded_known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
31,blinded_known_strict_linked_object_n,75899,object-night rows,retrospective_blinded_known_proxy_ge3_and_rate,available,blinded_known_eligible_ge3_rate_object_n,0.7415850000488534,Identity-blind downstream linkage/orbit survival proxy,not L2 detection completeness; not image injection; intermediate Gaia/static/tracklet losses are not separately identifiable from the frozen final link products,blinded_known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
32,blinded_known_fit_ok_survived_object_n,75899,object-night rows,retrospective_blinded_known_proxy_ge3_and_rate,available,blinded_known_eligible_ge3_rate_object_n,0.7415850000488534,Identity-blind downstream linkage/orbit survival proxy,not L2 detection completeness; not image injection; intermediate Gaia/static/tracklet losses are not separately identifiable from the frozen final link products,blinded_known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
33,blinded_known_is_good_survived_object_n,75899,object-night rows,retrospective_blinded_known_proxy_ge3_and_rate,available,blinded_known_eligible_ge3_rate_object_n,0.7415850000488534,Identity-blind downstream linkage/orbit survival proxy,not L2 detection completeness; not image injection; intermediate Gaia/static/tracklet losses are not separately identifiable from the frozen final link products,blinded_known_summary,b93f28f3eacc6672987f5c277b99593a53bbbccca7293c0f81606109e51ffdd6
